( fax: [
    customer_id("ALFKI"), "030-0076545";
    customer_id("SUPRD") -> "Charleroi",
    customer_id("THEBI") -> "Portland",
    customer_id("THECR") -> "Butte",
    customer_id("TOMSP") -> "Mnster",
    customer_id("TORTU") -> "Mxico D.F.",
    customer_id("TRADH") -> "Sao Paulo",
    customer_id("TRAIH") -> "Kirkland",
    customer_id("VAFFE") -> "rhus",
    customer_id("VICTE") -> "Lyon",
    customer_id("VINET") -> "Reims",
    customer_id("WANDK") -> "Stuttgart",
    customer_id("WARTH") -> "Oulu",
    customer_id("WELLI") -> "Resende",
    customer_id("WHITC") -> "Seattle",
    customer_id("WILMK") -> "Helsinki",
    customer_id("WOLZA") -> "Warszawa",
    employee_id(1) -> "Seattle",
    employee_id(2) -> "Tacoma",
    employee_id(3) -> "Kirkland",
    employee_id(4) -> "Redmond",
    employee_id(5) -> "London",
    employee_id(6) -> "London",
    employee_id(7) -> "London",
    employee_id(8) -> "Seattle",
    employee_id(9) -> "London",
    supplier_id(1) -> "London",
    supplier_id(2) -> "New Orleans",
    supplier_id(3) -> "Ann Arbor",
    supplier_id(4) -> "Tokyo",
    supplier_id(5) -> "Oviedo",
    supplier_id(6) -> "Osaka",
    supplier_id(7) -> "Melbourne",
    supplier_id(8) -> "Manchester",
    supplier_id(9) -> "Gteborg",
    supplier_id(10) -> "So Paulo",
    supplier_id(11) -> "Berlin",
    supplier_id(12) -> "Frankfurt",
    supplier_id(13) -> "Cuxhaven",
    supplier_id(14) -> "Ravenna",
    supplier_id(15) -> "Sandvika",
    supplier_id(16) -> "Bend",
    supplier_id(17) -> "Stockholm",
    supplier_id(18) -> "Paris",
    supplier_id(19) -> "Boston",
    supplier_id(20) -> "Singapore",
    supplier_id(21) -> "Lyngby",
    supplier_id(22) -> "Zaandam",
    supplier_id(23) -> "Lappeenranta",
    supplier_id(24) -> "Sydney",
    supplier_id(25) -> "Montral",
    supplier_id(26) -> "Salerno",
    supplier_id(27) -> "Montceau",
    supplier_id(28) -> "Annecy",
    supplier_id(29) -> "Ste-Hyacinthe"
  ],
  name: [
    category_id(1) -> "Beverages",
    category_id(2) -> "Condiments",
    category_id(3) -> "Confections",
    category_id(4) -> "Dairy Products",
    category_id(5) -> "Grains/Cereals",
    category_id(6) -> "Meat/Poultry",
    category_id(7) -> "Produce",
    category_id(8) -> "Seafood"
  ],
  notes: [
    employee_id(1) -> "Education includes a BA in psychology from Colorado State University in 1970.  She also completed \"The Art of the Cold Call.\"  Nancy is a member of Toastmasters International.",
    employee_id(2) -> "Andrew received his BTS commercial in 1974 and a Ph.D. in international marketing from the University of Dallas in 1981.  He is fluent in French and Italian and reads German.  He joined the company as a sales representative, was promoted to sales manager in January 1992 and to vice president of sales in March 1993.  Andrew is a member of the Sales Management Roundtable, the Seattle Chamber of Commerce, and the Pacific Rim Importers Association.",
    employee_id(3) -> "Janet has a BS degree in chemistry from Boston College (1984).  She has also completed a certificate program in food retailing management.  Janet was hired as a sales associate in 1991 and promoted to sales representative in February 1992.",
    employee_id(4) -> "Margaret holds a BA in English literature from Concordia College (1958) and an MA from the American Institute of Culinary Arts (1966).  She was assigned to the London office temporarily from July through November 1992.",
    employee_id(5) -> "Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree in 1976.  Upon joining the company as a sales representative in 1992, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London.  He was promoted to sales manager in March 1993.  Mr. Buchanan has completed the courses \"Successful Telemarketing\" and \"International Sales Management.\"  He is fluent in French.",
    employee_id(6) -> "Michael is a graduate of Sussex University (MA, economics, 1983) and the University of California at Los Angeles (MBA, marketing, 1986).  He has also taken the courses \"Multi-Cultural Selling\" and \"Time Management for the Sales Professional.\"  He is fluent in Japanese and can read and write French, Portuguese, and Spanish.",
    employee_id(7) -> "Robert King served in the Peace Corps and traveled extensively before completing his degree in English at the University of Michigan in 1992, the year he joined the company.  After completing a course entitled \"Selling in Europe,\" he was transferred to the London office in March 1993.",
    employee_id(8) -> "Laura received a BA in psychology from the University of Washington.  She has also completed a course in business French.  She reads and writes French.",
    employee_id(9) -> "Anne has a BA degree in English from St. Lawrence College.  She is fluent in French and German."
  ],
  order: [
    order_id(10248),
    order_id(10249),
    order_id(10250),
    order_id(10251),
    order_id(10252),
    order_id(10253),
    order_id(10254),
    order_id(10255),
    order_id(10256),
    order_id(10257),
    order_id(10258),
    order_id(10259),
    order_id(10260),
    order_id(10261),
    order_id(10262),
    order_id(10263),
    order_id(10264),
    order_id(10265),
    order_id(10266),
    order_id(10267),
    order_id(10268),
    order_id(10269),
    order_id(10270),
    order_id(10271),
    order_id(10272),
    order_id(10273),
    order_id(10274),
    order_id(10275),
    order_id(10276),
    order_id(10277),
    order_id(10278),
    order_id(10279),
    order_id(10280),
    order_id(10281),
    order_id(10282),
    order_id(10283),
    order_id(10284),
    order_id(10285),
    order_id(10286),
    order_id(10287),
    order_id(10288),
    order_id(10289),
    order_id(10290),
    order_id(10291),
    order_id(10292),
    order_id(10293),
    order_id(10294),
    order_id(10295),
    order_id(10296),
    order_id(10297),
    order_id(10298),
    order_id(10299),
    order_id(10300),
    order_id(10301),
    order_id(10302),
    order_id(10303),
    order_id(10304),
    order_id(10305),
    order_id(10306),
    order_id(10307),
    order_id(10308),
    order_id(10309),
    order_id(10310),
    order_id(10311),
    order_id(10312),
    order_id(10313),
    order_id(10314),
    order_id(10315),
    order_id(10316),
    order_id(10317),
    order_id(10318),
    order_id(10319),
    order_id(10320),
    order_id(10321),
    order_id(10322),
    order_id(10323),
    order_id(10324),
    order_id(10325),
    order_id(10326),
    order_id(10327),
    order_id(10328),
    order_id(10329),
    order_id(10330),
    order_id(10331),
    order_id(10332),
    order_id(10333),
    order_id(10334),
    order_id(10335),
    order_id(10336),
    order_id(10337),
    order_id(10338),
    order_id(10339),
    order_id(10340),
    order_id(10341),
    order_id(10342),
    order_id(10343),
    order_id(10344),
    order_id(10345),
    order_id(10346),
    order_id(10347),
    order_id(10348),
    order_id(10349),
    order_id(10350),
    order_id(10351),
    order_id(10352),
    order_id(10353),
    order_id(10354),
    order_id(10355),
    order_id(10356),
    order_id(10357),
    order_id(10358),
    order_id(10359),
    order_id(10360),
    order_id(10361),
    order_id(10362),
    order_id(10363),
    order_id(10364),
    order_id(10365),
    order_id(10366),
    order_id(10367),
    order_id(10368),
    order_id(10369),
    order_id(10370),
    order_id(10371),
    order_id(10372),
    order_id(10373),
    order_id(10374),
    order_id(10375),
    order_id(10376),
    order_id(10377),
    order_id(10378),
    order_id(10379),
    order_id(10380),
    order_id(10381),
    order_id(10382),
    order_id(10383),
    order_id(10384),
    order_id(10385),
    order_id(10386),
    order_id(10387),
    order_id(10388),
    order_id(10389),
    order_id(10390),
    order_id(10391),
    order_id(10392),
    order_id(10393),
    order_id(10394),
    order_id(10395),
    order_id(10396),
    order_id(10397),
    order_id(10398),
    order_id(10399),
    order_id(10400),
    order_id(10401),
    order_id(10402),
    order_id(10403),
    order_id(10404),
    order_id(10405),
    order_id(10406),
    order_id(10407),
    order_id(10408),
    order_id(10409),
    order_id(10410),
    order_id(10411),
    order_id(10412),
    order_id(10413),
    order_id(10414),
    order_id(10415),
    order_id(10416),
    order_id(10417),
    order_id(10418),
    order_id(10419),
    order_id(10420),
    order_id(10421),
    order_id(10422),
    order_id(10423),
    order_id(10424),
    order_id(10425),
    order_id(10426),
    order_id(10427),
    order_id(10428),
    order_id(10429),
    order_id(10430),
    order_id(10431),
    order_id(10432),
    order_id(10433),
    order_id(10434),
    order_id(10435),
    order_id(10436),
    order_id(10437),
    order_id(10438),
    order_id(10439),
    order_id(10440),
    order_id(10441),
    order_id(10442),
    order_id(10443),
    order_id(10444),
    order_id(10445),
    order_id(10446),
    order_id(10447),
    order_id(10448),
    order_id(10449),
    order_id(10450),
    order_id(10451),
    order_id(10452),
    order_id(10453),
    order_id(10454),
    order_id(10455),
    order_id(10456),
    order_id(10457),
    order_id(10458),
    order_id(10459),
    order_id(10460),
    order_id(10461),
    order_id(10462),
    order_id(10463),
    order_id(10464),
    order_id(10465),
    order_id(10466),
    order_id(10467),
    order_id(10468),
    order_id(10469),
    order_id(10470),
    order_id(10471),
    order_id(10472),
    order_id(10473),
    order_id(10474),
    order_id(10475),
    order_id(10476),
    order_id(10477),
    order_id(10478),
    order_id(10479),
    order_id(10480),
    order_id(10481),
    order_id(10482),
    order_id(10483),
    order_id(10484),
    order_id(10485),
    order_id(10486),
    order_id(10487),
    order_id(10488),
    order_id(10489),
    order_id(10490),
    order_id(10491),
    order_id(10492),
    order_id(10493),
    order_id(10494),
    order_id(10495),
    order_id(10496),
    order_id(10497),
    order_id(10498),
    order_id(10499),
    order_id(10500),
    order_id(10501),
    order_id(10502),
    order_id(10503),
    order_id(10504),
    order_id(10505),
    order_id(10506),
    order_id(10507),
    order_id(10508),
    order_id(10509),
    order_id(10510),
    order_id(10511),
    order_id(10512),
    order_id(10513),
    order_id(10514),
    order_id(10515),
    order_id(10516),
    order_id(10517),
    order_id(10518),
    order_id(10519),
    order_id(10520),
    order_id(10521),
    order_id(10522),
    order_id(10523),
    order_id(10524),
    order_id(10525),
    order_id(10526),
    order_id(10527),
    order_id(10528),
    order_id(10529),
    order_id(10530),
    order_id(10531),
    order_id(10532),
    order_id(10533),
    order_id(10534),
    order_id(10535),
    order_id(10536),
    order_id(10537),
    order_id(10538),
    order_id(10539),
    order_id(10540),
    order_id(10541),
    order_id(10542),
    order_id(10543),
    order_id(10544),
    order_id(10545),
    order_id(10546),
    order_id(10547),
    order_id(10548),
    order_id(10549),
    order_id(10550),
    order_id(10551),
    order_id(10552),
    order_id(10553),
    order_id(10554),
    order_id(10555),
    order_id(10556),
    order_id(10557),
    order_id(10558),
    order_id(10559),
    order_id(10560),
    order_id(10561),
    order_id(10562),
    order_id(10563),
    order_id(10564),
    order_id(10565),
    order_id(10566),
    order_id(10567),
    order_id(10568),
    order_id(10569),
    order_id(10570),
    order_id(10571),
    order_id(10572),
    order_id(10573),
    order_id(10574),
    order_id(10575),
    order_id(10576),
    order_id(10577),
    order_id(10578),
    order_id(10579),
    order_id(10580),
    order_id(10581),
    order_id(10582),
    order_id(10583),
    order_id(10584),
    order_id(10585),
    order_id(10586),
    order_id(10587),
    order_id(10588),
    order_id(10589),
    order_id(10590),
    order_id(10591),
    order_id(10592),
    order_id(10593),
    order_id(10594),
    order_id(10595),
    order_id(10596),
    order_id(10597),
    order_id(10598),
    order_id(10599),
    order_id(10600),
    order_id(10601),
    order_id(10602),
    order_id(10603),
    order_id(10604),
    order_id(10605),
    order_id(10606),
    order_id(10607),
    order_id(10608),
    order_id(10609),
    order_id(10610),
    order_id(10611),
    order_id(10612),
    order_id(10613),
    order_id(10614),
    order_id(10615),
    order_id(10616),
    order_id(10617),
    order_id(10618),
    order_id(10619),
    order_id(10620),
    order_id(10621),
    order_id(10622),
    order_id(10623),
    order_id(10624),
    order_id(10625),
    order_id(10626),
    order_id(10627),
    order_id(10628),
    order_id(10629),
    order_id(10630),
    order_id(10631),
    order_id(10632),
    order_id(10633),
    order_id(10634),
    order_id(10635),
    order_id(10636),
    order_id(10637),
    order_id(10638),
    order_id(10639),
    order_id(10640),
    order_id(10641),
    order_id(10642),
    order_id(10643),
    order_id(10644),
    order_id(10645),
    order_id(10646),
    order_id(10647),
    order_id(10648),
    order_id(10649),
    order_id(10650),
    order_id(10651),
    order_id(10652),
    order_id(10653),
    order_id(10654),
    order_id(10655),
    order_id(10656),
    order_id(10657),
    order_id(10658),
    order_id(10659),
    order_id(10660),
    order_id(10661),
    order_id(10662),
    order_id(10663),
    order_id(10664),
    order_id(10665),
    order_id(10666),
    order_id(10667),
    order_id(10668),
    order_id(10669),
    order_id(10670),
    order_id(10671),
    order_id(10672),
    order_id(10673),
    order_id(10674),
    order_id(10675),
    order_id(10676),
    order_id(10677),
    order_id(10678),
    order_id(10679),
    order_id(10680),
    order_id(10681),
    order_id(10682),
    order_id(10683),
    order_id(10684),
    order_id(10685),
    order_id(10686),
    order_id(10687),
    order_id(10688),
    order_id(10689),
    order_id(10690),
    order_id(10691),
    order_id(10692),
    order_id(10693),
    order_id(10694),
    order_id(10695),
    order_id(10696),
    order_id(10697),
    order_id(10698),
    order_id(10699),
    order_id(10700),
    order_id(10701),
    order_id(10702),
    order_id(10703),
    order_id(10704),
    order_id(10705),
    order_id(10706),
    order_id(10707),
    order_id(10708),
    order_id(10709),
    order_id(10710),
    order_id(10711),
    order_id(10712),
    order_id(10713),
    order_id(10714),
    order_id(10715),
    order_id(10716),
    order_id(10717),
    order_id(10718),
    order_id(10719),
    order_id(10720),
    order_id(10721),
    order_id(10722),
    order_id(10723),
    order_id(10724),
    order_id(10725),
    order_id(10726),
    order_id(10727),
    order_id(10728),
    order_id(10729),
    order_id(10730),
    order_id(10731),
    order_id(10732),
    order_id(10733),
    order_id(10734),
    order_id(10735),
    order_id(10736),
    order_id(10737),
    order_id(10738),
    order_id(10739),
    order_id(10740),
    order_id(10741),
    order_id(10742),
    order_id(10743),
    order_id(10744),
    order_id(10745),
    order_id(10746),
    order_id(10747),
    order_id(10748),
    order_id(10749),
    order_id(10750),
    order_id(10751),
    order_id(10752),
    order_id(10753),
    order_id(10754),
    order_id(10755),
    order_id(10756),
    order_id(10757),
    order_id(10758),
    order_id(10759),
    order_id(10760),
    order_id(10761),
    order_id(10762),
    order_id(10763),
    order_id(10764),
    order_id(10765),
    order_id(10766),
    order_id(10767),
    order_id(10768),
    order_id(10769),
    order_id(10770),
    order_id(10771),
    order_id(10772),
    order_id(10773),
    order_id(10774),
    order_id(10775),
    order_id(10776),
    order_id(10777),
    order_id(10778),
    order_id(10779),
    order_id(10780),
    order_id(10781),
    order_id(10782),
    order_id(10783),
    order_id(10784),
    order_id(10785),
    order_id(10786),
    order_id(10787),
    order_id(10788),
    order_id(10789),
    order_id(10790),
    order_id(10791),
    order_id(10792),
    order_id(10793),
    order_id(10794),
    order_id(10795),
    order_id(10796),
    order_id(10797),
    order_id(10798),
    order_id(10799),
    order_id(10800),
    order_id(10801),
    order_id(10802),
    order_id(10803),
    order_id(10804),
    order_id(10805),
    order_id(10806),
    order_id(10807),
    order_id(10808),
    order_id(10809),
    order_id(10810),
    order_id(10811),
    order_id(10812),
    order_id(10813),
    order_id(10814),
    order_id(10815),
    order_id(10816),
    order_id(10817),
    order_id(10818),
    order_id(10819),
    order_id(10820),
    order_id(10821),
    order_id(10822),
    order_id(10823),
    order_id(10824),
    order_id(10825),
    order_id(10826),
    order_id(10827),
    order_id(10828),
    order_id(10829),
    order_id(10830),
    order_id(10831),
    order_id(10832),
    order_id(10833),
    order_id(10834),
    order_id(10835),
    order_id(10836),
    order_id(10837),
    order_id(10838),
    order_id(10839),
    order_id(10840),
    order_id(10841),
    order_id(10842),
    order_id(10843),
    order_id(10844),
    order_id(10845),
    order_id(10846),
    order_id(10847),
    order_id(10848),
    order_id(10849),
    order_id(10850),
    order_id(10851),
    order_id(10852),
    order_id(10853),
    order_id(10854),
    order_id(10855),
    order_id(10856),
    order_id(10857),
    order_id(10858),
    order_id(10859),
    order_id(10860),
    order_id(10861),
    order_id(10862),
    order_id(10863),
    order_id(10864),
    order_id(10865),
    order_id(10866),
    order_id(10867),
    order_id(10868),
    order_id(10869),
    order_id(10870),
    order_id(10871),
    order_id(10872),
    order_id(10873),
    order_id(10874),
    order_id(10875),
    order_id(10876),
    order_id(10877),
    order_id(10878),
    order_id(10879),
    order_id(10880),
    order_id(10881),
    order_id(10882),
    order_id(10883),
    order_id(10884),
    order_id(10885),
    order_id(10886),
    order_id(10887),
    order_id(10888),
    order_id(10889),
    order_id(10890),
    order_id(10891),
    order_id(10892),
    order_id(10893),
    order_id(10894),
    order_id(10895),
    order_id(10896),
    order_id(10897),
    order_id(10898),
    order_id(10899),
    order_id(10900),
    order_id(10901),
    order_id(10902),
    order_id(10903),
    order_id(10904),
    order_id(10905),
    order_id(10906),
    order_id(10907),
    order_id(10908),
    order_id(10909),
    order_id(10910),
    order_id(10911),
    order_id(10912),
    order_id(10913),
    order_id(10914),
    order_id(10915),
    order_id(10916),
    order_id(10917),
    order_id(10918),
    order_id(10919),
    order_id(10920),
    order_id(10921),
    order_id(10922),
    order_id(10923),
    order_id(10924),
    order_id(10925),
    order_id(10926),
    order_id(10927),
    order_id(10928),
    order_id(10929),
    order_id(10930),
    order_id(10931),
    order_id(10932),
    order_id(10933),
    order_id(10934),
    order_id(10935),
    order_id(10936),
    order_id(10937),
    order_id(10938),
    order_id(10939),
    order_id(10940),
    order_id(10941),
    order_id(10942),
    order_id(10943),
    order_id(10944),
    order_id(10945),
    order_id(10946),
    order_id(10947),
    order_id(10948),
    order_id(10949),
    order_id(10950),
    order_id(10951),
    order_id(10952),
    order_id(10953),
    order_id(10954),
    order_id(10955),
    order_id(10956),
    order_id(10957),
    order_id(10958),
    order_id(10959),
    order_id(10960),
    order_id(10961),
    order_id(10962),
    order_id(10963),
    order_id(10964),
    order_id(10965),
    order_id(10966),
    order_id(10967),
    order_id(10968),
    order_id(10969),
    order_id(10970),
    order_id(10971),
    order_id(10972),
    order_id(10973),
    order_id(10974),
    order_id(10975),
    order_id(10976),
    order_id(10977),
    order_id(10978),
    order_id(10979),
    order_id(10980),
    order_id(10981),
    order_id(10982),
    order_id(10983),
    order_id(10984),
    order_id(10985),
    order_id(10986),
    order_id(10987),
    order_id(10988),
    order_id(10989),
    order_id(10990),
    order_id(10991),
    order_id(10992),
    order_id(10993),
    order_id(10994),
    order_id(10995),
    order_id(10996),
    order_id(10997),
    order_id(10998),
    order_id(10999),
    order_id(11000),
    order_id(11001),
    order_id(11002),
    order_id(11003),
    order_id(11004),
    order_id(11005),
    order_id(11006),
    order_id(11007),
    order_id(11008),
    order_id(11009),
    order_id(11010),
    order_id(11011),
    order_id(11012),
    order_id(11013),
    order_id(11014),
    order_id(11015),
    order_id(11016),
    order_id(11017),
    order_id(11018),
    order_id(11019),
    order_id(11020),
    order_id(11021),
    order_id(11022),
    order_id(11023),
    order_id(11024),
    order_id(11025),
    order_id(11026),
    order_id(11027),
    order_id(11028),
    order_id(11029),
    order_id(11030),
    order_id(11031),
    order_id(11032),
    order_id(11033),
    order_id(11034),
    order_id(11035),
    order_id(11036),
    order_id(11037),
    order_id(11038),
    order_id(11039),
    order_id(11040),
    order_id(11041),
    order_id(11042),
    order_id(11043),
    order_id(11044),
    order_id(11045),
    order_id(11046),
    order_id(11047),
    order_id(11048),
    order_id(11049),
    order_id(11050),
    order_id(11051),
    order_id(11052),
    order_id(11053),
    order_id(11054),
    order_id(11055),
    order_id(11056),
    order_id(11057),
    order_id(11058),
    order_id(11059),
    order_id(11060),
    order_id(11061),
    order_id(11062),
    order_id(11063),
    order_id(11064),
    order_id(11065),
    order_id(11066),
    order_id(11067),
    order_id(11068),
    order_id(11069),
    order_id(11070),
    order_id(11071),
    order_id(11072),
    order_id(11073),
    order_id(11074),
    order_id(11075),
    order_id(11076),
    order_id(11077)
  ],
  phone: [
    shipper_id(1), "(503) 555-9831";
    shipper_id(2), "(503) 555-3199";
    shipper_id(3), "(503) 555-9931";
    customer_id("ALFKI"), "030-0074321";
    customer_id("ANATR"), "(5) 555-4729";
    customer_id("ANTON"), "(5) 555-3932";
    customer_id("AROUT"), "(171) 555-7788";
    customer_id("BERGS"), "0921-12 34 65";
    customer_id("BLAUS"), "0621-08460";
    customer_id("BLONP"), "88.60.15.31";
    customer_id("BOLID"), "(91) 555 22 82";
    customer_id("BONAP"), "91.24.45.40";
    customer_id("BOTTM"), "(604) 555-4729";
    customer_id("BSBEV"), "(171) 555-1212";
    customer_id("CACTU"), "(1) 135-5555";
    customer_id("CENTC"), "(5) 555-3392";
    customer_id("CHOPS"), "0452-076545";
    customer_id("COMMI"), "(11) 555-7647";
    customer_id("CONSH"), "(171) 555-2282";
    customer_id("DRACD"), "0241-039123";
